"Auth Object","Auth Object Description"
"I_WCUSE","WCM: Use of WCM Object"
"I_WPS_MEB","WPS: Maintenance Event Builder"
"I_WPS_REV","WPS: Revision authorization object"
"J_1I57AE","Authorization object for 57AE report"
"J_1I57F_4","Authorization object for 57F4 posting transaction"
"J_1IAADEP","Authorizaton object for Income Tax depreciation - India"
"J_1IAR","Authorizaton object for classic - Annual Returns"
"J_1IARE_ME","Authorization object for area menu transaction"
"J_1IASSET","Authorization for new Assets"
"J_1IA_POSO","Authorization object for Amend PO's SO's transaction"
"J_1ICAPGD1","Authorization for capital goods assets/ consumables"
"J_1ICAP_GD","Authorization object for capital goods transaction"
"J_1ICLACER","Authorizaton object for classic - Certificate"
"J_1ICLATDS","Authorizaton object for classic - TDS Post"
"J_1ICWIZ","Health Check"
"J_1IDEP_S1","Enhanced Authorization object for depot sale transaction"
"J_1IDEP_SL","Authorization object for depot sale transaction"
"J_1IDNLD","Authorization object for Download"
"J_1IEWPOCR","Excise invoice without PO create"
"J_1IEWPOVP","Authorization object for Excise without PO - Verify"
"J_1IEWTBCH","Authorizaton object for EWT - Bank Challan"
"J_1IEWTCER","Authorization check for Certificate Printing- EWT"
"J_1IEWTCHL","Authorization Object for Challan Updation-EWT"
"J_1IEWTJV","Authorization check for JV"
"J_1IEWTMIS","Authorisation for MIS Report"
"J_1IEWTPR","Authorization check for SR/IR Provisions- EWT"
"J_1IEWT_AR","Authorisation Object for Annual Returns -  Ext. With. Tax"
"J_1IEWT_HC","health check for Migration to EWT"
"J_1IEXCJV1","Excise Invoice"
"J_1IEXC_CR","Authorization object for Excise Invoice Create"
"J_1IEXC_IV","Authorization object for excise invoice posting transaction"
"J_1IEXC_JV","Authorization object for Excise JV transaction"
"J_1IEXC_OT","Authorization object for Other Excise Invoice Create"
"J_1IEXC_RT","Authorization object for maintain excise rate transaction"
"J_1IEXPRN","Authorization object for printing excise invoice"
"J_1IEX_PST","Autorization object for posting Other Excise invoice"
"J_1IFACSL1","Authorization for ARE1"
"J_1IFACT1","Authorization for ARE3 Transactions"
"J_1IFAC_S1","Enhanced Factory sales authorization"
"J_1IFAC_SL","Authorization object for Factory sales transaction"
"J_1IFRM_TR","Authorisation object for Forms tracking transaction"
"J_1IFRTPYM","Authorization object for Fortnightly payment transaction"
"J_1IGRPT1","Auth. for PART1 at GR"
"J_1IIEXCP","Exceptions for sales Excise invoices"
"J_1IINEX","Incoming Excise Invoice"
"J_1IPLA_FC","Authorization object for PLA forecast"
"J_1IPRC_CH","Authorization object for Basic price changes transaction"
"J_1IREGEXT","Authorization object for excise registers extraction"
"J_1IREGPRN","Authorization for Register Printing"
"J_1IREGS","Authorization object for RG23 issues and RG1"
"J_1IREGSN","Auth. for J1I5 (new program - J_1IREGSN)"
"J_1IRG23D","Authorisation object for Depo Transactions"
"J_1ISRVTX","Authorization for Service tax"
"J_1ITAX_DS","Authorization object for tax deduction at source transaction"
"J_1ITDS","Authorization object for TDS transaction J1IN"
"J_1ITDSARC","TDS Archiving"
"J_1ITDSCER","Authorization check for Certificate Print Program"
"J_1ITDSCHL","Authorization for TDS Challan"
"J_1IURG23D","Authorisation object for receipts to depot"
"J_1IUTZL","Autorization object for Fortnightly payment"
"J_1IUTZLTN","Authorization object for Fortnightly payment"
"J_1I_IMG","Authorization object for IMG"
"J_3GABRLST","Call CEM Settlement List for Organizational Units"
"J_3GACTVT","CEM Allowed Activities"
"J_3GBEWTP2","ETM - Transaction Types, Document Category 2"
"J_3GBLART","Authorization for Document Types"
"J_3GDBER","Planning Area In Recipient"
"J_3GDUMMY1","Dummy Maintenance"
"J_3GEMPGR2","ETM - Recipient Groups, Document Category 2"
"J_3GEQART2","ETM - Equipment Types for Document Category 2"
"J_3GTESTSD","Enhanced Test Environment for SD Order Input"
"J_3G_DUMMY","Dummy Maintenance"
"J_3G_TCODE","Transaction Code"
"J_3RC_REV","Logistic reversal invoices autoclearing"
"J_3RF_TAXA","Authorization for assignment of hierarchy to company code"
"J_3RF_TAXH","Authorization for tax hierarchy editor"
"J_3RM_WRTB","Authorization on recording of the report in database table"
"J_4I0_DMDF","DMC Document Flow - Edit Document"
"J_4I0_DOCO","DMC Document Owners"
"J_4I0_DRCR","DMC Debit/Credit Offset"
"J_4I0_MDDO","DMC Master Data - Document Owner Records"
"J_4I0_MDUS","DMC Master Data - User Master Records"
"J_4I0_NQDL","DMC Notes Tickler Query - Document List"
"J_4I0_NQDM","DMC Notes Tickler Query - Document List Mass Change"
"J_4I0_NQNA","DMC Notes Tickler Query - Docs w/ No Actions List"
"J_4I0_NQOT","DMC Notes Tickler Query - Other Reports"
"J_4I0_NQTD","DMC Notes Tickler Query - To-Do List"
"J_4I0_NQTM","DMC Notes Tickler Query - To-Do List Mass Change"
"J_4I0_NTAC","DMC Notes Tickler - Account Level Note"
"J_4I0_NTAG","DMC Notes Tickler - Authorization Group"
"J_4I0_NTCO","DMC Notes Tickler - Correspondence"
"J_4I0_NTDO","DMC Notes Tickler - Document Level Note"
"J_4I0_NTFG","DMC Notes Tickler - Field Group"
"J_ABART","IS-M/SD: Settlement Type"
"J_ABR_DTLA","IS-M/SD: Settlement for Service Type"
"J_ACCTRANS","IS-M/SD: Liability Account Transfer"
"J_AMOPLAN","IS-M/SD: Redetermine Amortization Plan"
"J_AMORTIZE","IS-M/SD: Amortization of Liability Accounts After Shipping"
"J_BELEINH","IS-M/AM: Master Data -> Booking Units"
"J_B_ACCOUN","IS-B: STC Authorization Object for Accounts"
"J_B_BUKRS","Check Company Code Authorization"
"J_B_CASHFL","IS-B: STC Authorization Object for Cash Flows"
"J_B_CLTCOP","IS-B: Copy STC Authorization Object for Company Code"
"J_B_CONDIT","IS-B: STC Authorization Object for Conditions"
"J_B_CONDLI","IS-B: STC Authorization Object for Condition Lists"
"J_B_CONDTA","IS-B: STC Authorization Object for Condition Tables"
"J_B_COST","IS-B: STC Authorization Object for Costing"
"J_B_COSTRU","IS-B: STC Authorization Object for Costing Rules"
"J_B_EDT","IS-B: STC Authorization Object for External Data Transfer"
"J_B_EDTCUS","IS-B:STC Authorization Object for External Data Trans. Cust."
"J_B_EURO","IS-B: STC Authoriz. Object for EURO Conversion Functions"
"J_B_FOBJ","IS-B: STC Authorization Object for Financial Object"
"J_B_KLCUS1","CL: Customizing for Authorizations"
"J_B_KLSDC1","User-Specific Selection of STC Products"
"J_B_KLTCOD","CL: Application Transactions"
"J_B_MARKET","IS-B: STC Authorization Object for Market Data"
"J_B_POSIT","IS-B: STC Authorization Object for Positions"
"J_B_PO_CHG","IS-B: Authorization Object for Position Changes"
"J_B_R/OCON","IS-B: STC Authorization Object for Required/Optional Control"
"J_B_RMCUS1","CFM/Banking Analysis: Customizing Functions"
"J_B_RMCUS2","IS-B: RM Authorization 1"
"J_B_RMCUS3","IS-B: RM Authorization 2"
"J_B_SERV","IS-B: STC Authorization Object for Services"
"J_B_STCOND","IS-B: STC Authorization Object for Standard Conditions"
"J_B_TRANSB","CFM/Banking Analysis: Transactions"
"J_B_VARTRA","IS-B: STC Authorization Object for Variable Transaction"
"J_B_WPORD","IS-B: SAP Banking: Authorization Object for Security Orders"
"J_B_YLDCUR","IS-B: STC Authorization Object for Yield Curve Types"
"J_CKON_CUS","IS-M/SD: Customizing for Conditions"
"J_COLLECT","IS-M: Goods Collection"
"J_CONACTIV","IS-M: Activate Contract"
"J_CONTRACT","IS-M/AM: Contract"
"J_CONTR_C","IS-M/AM: Contract Requirement"
"J_DBPE","IS-M/SD: Purchase Period Units"
"J_DDRE","IS-M/SD: Publication (Title)"
"J_DELIVOPT","IS-M/SD: Delivery viability optimization"
"J_DEMAND_H","IS-M: Quantity Plan Horizon"
"J_DGRG","IS-M/SD: Edition Generation Rule (Title)"
"J_DGTR","IS-M/SD: Edition Generation Trigger (Title)"
"J_DIENST","IS-M/AM: Master Data -> Services"
"J_DI_DPC","Authorization Object: Down Payment Chains"
"J_DI_PNV01","Construction Progress Report"
"J_DOC_MAN","IS-M: Authorization Check for Business Object Documents"
"J_DPRO","IS-M/SD: Fliers"
"J_DPVA","IS-M/SD: Editions (Titles)"
"J_DVAG","IS-M/SD: Issues (Titles)"
"J_EKORG","IS-M/SD: Purchasing Organization"
"J_EXPDATE","IS-M/SD: Recalculation of Expiration Date"
"J_FAKT","IS-M/AM: Billing/Settlement"
"J_FKART","IS-M/SD: Billing type"
"J_FORECAST","IS-M: Weightings of Delivery Quantities for Ref. Issues"
"J_GADR","IS-M: Address Management"
"J_GDEZ_SPE","IS-M: Lock Business Partner Role (Customer) Centrally"
"J_GDE_SPE","IS-M: Lock Business Partner Role (Customer)"
"J_GEN_EXEC","IS-M: Authorization for Master Data Generation"
"J_GEN_PROF","IS-M: Authorization to Maintain Generation Profile"
"J_GGP_LOE","IS-M: Business Partner Deletion Flag"
"J_GGP_SPE","IS-M: Business Partner Block"
"J_GKRZ_SPE","IS-M: Lock Business Partner Role (Vendor) Centrally"
"J_GKR_SPE","IS-M: Lock Business Partner Role (Vendor)"
"J_GP","IS-M: Business Partner Roles"
"J_GPBV","IS-M/SD: Maintenance of Employment Relationships"
"J_GPHIE","IS-M/AM: Business Partner Hierarchy"
"J_GP_CH","IS-M: Mass Changes to Business Partners"
"J_GP_DT","IS-M: Business Partner Data Transfer"
"J_GP_FI","IS-M: Update of Business Partner Data to FI"
"J_GP_HR","IS-M: Authorization for Cross-System Communication with HR"
"J_IFST","IS-M/SD: Update Circulation Book Database"
"J_IIVWCM","IS-M/SD: Migrate Daily Aud.Statistics to Circulation Book"
"J_IMLD","IS-M/SD: Audit Report (Execute; ""Create"")"
"J_INHK","IS-M/AM: Master Data -> Content Components/Hierarchies"
"J_IS_DRERZ","IS-M/SD: LIS standard analyses - check publication divisions"
"J_JKAK","IS-M/SD: Sales order"
"J_JKREMIND","IS-M/SD: Monitoring of Renewal Subscriptions"
"J_JKTOKD","IS-M: Account Group"
"J_JVA_CUS","Joint Venture Accounting: Customizing"
"J_JVA_JOA","Joint Venture Accounting: Joint Operating Agreement Master"
"J_JVA_PRC","Joint Venture Accounting: Processing"
"J_JVA_REP","Joint Venture Accounting: Reporting"
"J_JVA_VNT","Joint Venture Accounting: Venture Master"
"J_JVPHM","IS-M/SD: Phase Shipping Model"
"J_JVSOH","IS-M/SD: Authorization Object for Shipping Orders"
"J_KKOND_EX","IS-M/SD: Extract condition master data"
"J_KNVP","Edit Time-Dependent Partner Roles"
"J_KPRO","IS-M/SD: Ad Pre-Print Order"
"J_KTRNSFER","IS-M/SD: Data Transfer of Sales Documents"
"J_LPST_CON","IS-M/SD: Postal charges - settlement check"
"J_LPST_ELI","IS-M/SD: Postal charges - overview of goods arrival lists"
"J_LPST_SST","IS-M/SD: Postal charges - interface for charges"
"J_LPST_STA","IS-M/SD: Postal charge statistics"
"J_MMCOA","IS-M: Media-Mix Contract"
"J_NRCH","IS-M/SD: Authorization for research"
"J_ORDER","IS-M/AM: Order"
"J_ORDERGEN","Order Generation"
"J_ORD_POS","IS-M/AM: Order -> Items"
"J_PORDER","IS-M: Authorization for Purchase Orders"
"J_PRDH_MOD","IS-M/AM: S&P Product Hierarchy: Maintain Modification Ind."
"J_PRDH_TPF","IS-M/AM: S&P Product Hierarchy: Maintain Master Data (ModIn)"
"J_PRICEGRP","IS-M: Master Data on Price Groups in Series Sales"
"J_PROTOCOL","IS-M: Log Display"
"J_PSA_PRC","PSA Processing & Customizing"
"J_PSA_REP","PSA Reporting"
"J_QEVENT","IS-M/SD: Event ID in Quantity Planning"
"J_RABL","IS-M/SD: Unloading viability sets"
"J_RBEA_ART","IS-M/SD: Maintenance auth.for loading/unloading points"
"J_REPO_SPA","IS-M/SD: Reports for data on division"
"J_REPO_STR","IS-M/SD: Delete"
"J_REPO_VKO","IS-M/SD: Reports with data on sales organization"
"J_RETURN","IS-M: Returns"
"J_RETURN_A","IS-M: Authorization to Accept a Return"
"J_RETURN_G","IS-M: Authorization to Generate Request Documents"
"J_RETURN_P","Returns Administration"
"J_RGRG","IS-M/SD: Generation rule for route"
"J_RGTR","IS-M/SD: Generation trigger for route"
"J_RRGL","IS-M/SD: Unloading rules"
"J_RROU","IS-M/SD: Maintenance authorization for routes"
"J_RROU_VER","IS-M/SD: Maintenance authorization for route contracts"
"J_RTRO","IS-M/SD: Maintenance authorization for daily routes"
"J_SANR","IS-M/SD: Change number"
"J_SBEZ","IS-M/SD: Maintenance authorization for districts"
"J_SBEZ_ABR","IS-M/SD: District - delivery settlement"
"J_SBEZ_LL","IS-M/SD: Round sequence for district"
"J_SD2HD","IS-M: Carrier Settlement for SD Orders"
"J_SDSPLIT","IS-M/SD: Mixes in Media Product Sales and Distribution"
"J_SEORDERG","Order Generation in Series Sales"
"J_SGEO","IS-M/SD: Maintenance authorization for geographical units"
"J_SHTG","IS-M/SD: Authorizations for hierarchy types"
"J_SONDINS","IS-M/AM: Master Data -> Ad Inserts"
"J_SPST_ART","IS-M/SD: Maintenance authorization for postal units"
"J_SP_PROJ","Service Provider - Create, Change, Delete Project Pipeline"
"J_SVZVTBER","IS-M/AM: Barring Lists for All Sales Areas"
"J_SZUO_EIN","IS-M/SD: Access authorization for structure maintenance"
"J_SZUO_UEB","IS-M/SD: Overview authorization for structure maintenance"
"J_TMCP","IS-M: Product Market Coverage"
"J_TRANSFER","IS-M: Create/Change Goods Transfer"
"J_TRANSF_G","IS-M: Post Goods Transfer"
"J_VAMG","IS-M/SD: Delivery - settlement quantities"
"J_VANN","IS-M/SD: Order Deadline"
"J_VARIANT","Authorization to Delete Other Users' Variants"
"J_VDSP","IS-M/SD: Planning (regenerative planning and netchange)"
"J_VDTR","IS-M/SD: Planning trigger"
"J_VDVP","IS-M/SD: Planning trigger - completeness check"
"J_VERMVERT","IS-M/AM: Media Sales Agent Contract"
"J_VERM_VA","Sales Agent Exclusion Requirement for Entire Sales Area"
"J_VERSION","IS-M/SD Quantity Plan Version"
"J_VFMV","IS-M/SD: Distribution error message"
"J_VGBD_EIN","IS-M/SD: Delete"
"J_VLFB","IS-M/SD: Delivery viability sets"
"J_VLST","IS-M/SD: Daily delivery statistics"
"J_VLVM","IS-M/SD: Delivery - shipping characteristics"
"J_VPKT_EIN","IS-M/SD: Packing - container packing for plant"
"J_VRGL_PAK","IS-M/SD: Authorizations for Maintaining Bundling Rules"
"J_VRGP","IS-M/SD: Authorization to Assign BPs to Delivery Rounds"
"J_VSPS","IS-M/SD: Shipping documents - general control data"
"J_VVPLAN","IS-M/SD: Shipping schedule and shipping schedule variant"
"J_VVSP","IS-M/SD: Shipping document creation / printing"
"J_VVVL","IS-M: Shipping Preparation (Create Insert Mixes, ...)"
"J_VZEB","IS-M/SD: ZEBU maintenance"
"J_VZEB_DEL","IS-M/SD: ZEBU deletion - postal code"
"J_WAKT","IS-M/SD: Authorization for sales promotion"
"J_WBAS","IS-M/SD: Authorization for campaign framework"
"J_WBZ_IN","IS-M/SD: WBZ Inbound Processing"
"J_WBZ_OUT","IS-M/SD: WBZ Outbound Processing"
"J_WKTK","IS-M/SD: Business partner sales activity"
"J_WMAT","IS-M: Manage Advertising Materials"
"K_ABC","CO-ABC: General Authorization Object, Business Processes"
"K_AUFK_ART","CO-OPA: Order Types"
"K_AUFK_SET","CO-OPA: Order Groups"
"K_CBEW","CO-PC: Concurrent Costing - Cstg Master Data"
"K_CBPR_PLA","CO-ABC: Business Process Planning"
"K_CBPR_SET","CO-ABC: Business Process Groups"
"K_CCA","CO-CCA: Gen. Authorization Object for Cost Center Accounting"
"K_CKBOB","CO-PC: Product Drilldown"
"K_CKBS","CO-PC: Base Planning Objects"
"K_CKPH","CO-PC: Cost Objects"
"K_CKPH_SET","CO-ABC: Cost Object Groups"
"K_CRM_REP","Authorization Check for Cost Integration CRM - CO"
"K_CSKA_SET","CO-CCA: Cost Element Groups"
"K_CSKB","CO-CCA: Cost Element Master"
"K_CSKB_PLA","CO-CCA: Cost Element Planning"
"K_CSKS","CO-CCA: Cost Center Master"
"K_CSKS_BUD","CO-CCA: Cost Center Budget Planning"
"K_CSKS_PLA","CO-CCA: Cost Center Planning"
"K_CSKS_SET","CO-CCA: Cost Center Groups"
"K_CSLA","CO-CCA: Activity Types Master"
"K_CSLA_SET","CO-CCA: Activity Type Groups"
"K_FCO","CO-PC: Failure Cost Processing"
"K_FPB_EXP","Authorization Object for Express Planning"
"K_FVMK","CO-PC: Release/Marking - Product Costing"
"K_KA03","CO-CCA: Statistical Key Figures"
"K_KA03_SET","CO-CCA: Statistical Key Figure Groups"
"K_KA09_KVS","CO: Version"
"K_KA_RC","CO: Drill-down reporting - rows/columns (not up-to-date)"
"K_KA_RCS","CO: Drill-down reporting - line-/column structures"
"K_KA_REP","CO: Drill-down reporting - Reporting (not up-to-date)"
"K_KA_RPT","CO: Interactive Drilldown Reporting - Reports"
"K_KA_TREC","CO: Summarization Levels"
"K_KC_DB","EC-EIS: Authorizations for the Data Basis"
"K_KC_DB_VS","SAP-EIS Authorization for Data Basis Version & Plan/Act Ind."
"K_KC_DE","EC-EIS Authorization - Entry Layout / Data Entry"
"K_KC_DS","EC-EIS: Authorizations for Data Structure Maintenance"
"K_KC_DSK","EC-EIS: Authorization for Structures and Key Figures"
"K_KC_FC","EC-EIS: Function Code Authorization"
"K_KC_HI","EC-EIS Authorizations for Hierarchies"
"K_KC_PBR","SAP-EIS: Authorization for Presentation Objects"
"K_KC_PL","EC-BP: Authorization for Planning Layouts"
"K_KC_PR","SAP-EIS: Authorization for Presentation"
"K_KC_PRC","EC-EIS: Authorization for Presentation of Form"
"K_KC_PRP","EC-EIS: Presentation authorizations (report names)"
"K_KEA_ALE","Profitability Analysis: Distribution"
"K_KEA_ERG","Profitability Analysis: Set Operating Concern"
"K_KEA_NET","Profitability Analysis: Realignments"
"K_KEA_TC","Profitability Analysis: Maintain Operating Concern"
"K_KEB_BER","Profitability Report: Authorization Objects"
"K_KEB_RC","Profitability Report: Forms"
"K_KEB_REP","Profitability Report: Report Name"
"K_KEB_TC","Profitability Reports"
"K_KEDT_TC","Profitability Analysis: Transfer Data to CO-PA"
"K_KED_UM","Profitability Analysis: Cost Center Assessment"
"K_KEI_TC","Profitability Analysis: Actual Data"
"K_KEKD_TC","Profitability Analysis: Conditions"
"K_KEKO","CO-PC: Product Costing"
"K_KEPL_BER","CO-PA Planning: Authorization Objects"
"K_KEPL_FR","Profit Planning: Initial Screen"
"K_KEPL_GP","CO-PA Planning: Integrated Planning"
"K_KEPL_RC","CO-PA Planning: Planning Layouts"
"K_KEPL_TC","Profit Planning"
"K_KEPL_VER","CO-PA Planning: Plan Version"
"K_KER_TC","Profitability Analysis: Derivation Rule Values"
"K_KES_TC","Profitability Analysis: Derivation Strategy"
"K_KFPI_DCT","CO: Document Type for Transfer Price Allocations"
"K_KFPP_DCT","CO: Document Type for Transfer Price Agreements"
"K_KMOB_DCT","CO: Document Type for Manual Funds Reservation"
"K_MLMBDISP","CO Material Ledger: Display Material Valuation Document"
"K_MLNUSER","CO Material Ledger: Individual settlement; (no longer used)"
"K_MLPR_VA","CO Material Price Change: Valuation Area"
"K_MLPUSER","CO Material Ledger: Plant settlement (no longer used)"
"K_ML_MGV","Material Ledger: Master Data of Quantity Structure Tool"
"K_ML_MTART","CO Material Ledger: Material Type"
"K_ML_VA","CO Material Ledger: Valuation Area"
"K_ORDER","CO-OPA: General authorization object for internal orders"
"K_ORGUNIT","CO: Organizational Units Used in Actual Postings"
"K_PCA","EC-PCA: Responsibility Area, Profit Center"
"K_PCAB_DEL","EC-PCA: Delete Transaction Data"
"K_PCAD_UM","EC-PCA: Assessment/Distribution"
"K_PCAF_UEB","EC-PCA: FI Data Transfer"
"K_PCAI_UEB","EC-PCA: Actual Data Transfer"
"K_PCAL_GEN","EC-PCA: Generate and activate ledger"
"K_PCAM_UEB","EC-PCA: MM Data Transfer"
"K_PCAP_SET","EC-PCA: Planning Hierarchy"
"K_PCAP_UEB","EC-PCA: Plan Data Transfer"
"K_PCAR_REP","EC-PCA: Summary and Line Item Reports"
"K_PCAR_SRP","EC-PCA: Standard Reports and Datasets"
"K_PCAS_PRC","EC-PCA: Profit Centers"
"K_PCAS_UEB","EC-PCA: SD Data Transfer"
"K_PCA_REAL","EC-PCA: Realignment for PrCtr Assignments to CO Master Data"
"K_PEP","CO Authorization Object for Period-End Partner (PEP)"
"K_PKSA","CO-PC: Production Cost Collector"
"K_PRICE001","Authorization for Price Maintenance, Catch Weight Solution"
"K_PRPS_SET","CO-CCA: PSP Element Groups"
"K_PVARIANT","Authorization for Screen Variants"
"K_REPO_CCA","CO-CCA: Reporting on Cost Centers/Cost Elements"
"K_REPO_OPA","CO-OPA: Reporting on Orders"
"K_REPO_USR","CO: Reporting / User Settings"
"K_SUM_CO","CO: General CO Summarization Without Classification"
"K_SUM_COST","CO-PC: Summarization - Cost Objects"
"K_SUM_ORD","CO-PC: Summarization - Orders"
"K_SUM_PROJ","CO-PC: Summarization - Projects"
"K_TEMPL","CO: Auth. Template (ABC-allocation, formula planning, other)"
"K_TEST","Test"
"K_TKA50","CO: Planner Profiles"
"K_TP_VALU","Transfer Price Valuations"
"K_VRGNG","CO: Bus. Trans., Actual Postings and Plan/act. Allocations"
"K_WIP","CO-PC-OBJ: WIP Calculation and Results Analysis"
"K_WIP_BU","CO-PC-OBJ: WIP Calculation and Results Analysis"
"K_WIP_PC","CO-PC-OBJ: WIP Calculation and Results Analysis"
"K_ZBASSL","CO: Calculation base"
"K_ZENTSL","CO: Credit"
"K_ZKALSM","CO: Costing sheet"
"K_ZSCHL","CO: Overhead key"
"K_ZZUSSL","CO: Overhead"
"L_BWLVS","Movement Type in the Warehouse Management System"
"L_EXECUTE","Execution activities in TRM"
"L_LGNUM","Warehouse Number / Storage Type"
"L_MONITOR","Monitoring activities in TRM"
"L_MON_TRM","TRM Monitor"
"L_MON_TRML","TRM Log Monitor"
"L_MON_VAS","VAS Monitor"
"L_MON_XDCK","Cross-Docking Monitor"
"L_MON_YARD","Yard Monitor"
"L_SFUNC","Special functions in Warehouse Management"
"L_TCODE","Transaction Codes in the Warehouse Management System"
"L_VEHICLE","Yard vehicle information"
"L_YARD","Yard authorization"
"L_YRD_MTHD","Methods in the yard desktop transactions"
"MAN_PM_KPI","Manufacturing: Add Plant Manager KPI"
"MDS_LOAD","Synchronization (Individual and Mass Maintenance)"
"M_AMPL_ALL","Approved Manufacturer Parts List"
"M_AMPL_WRK","Approved Manufacturer Parts List - Plant"
"M_ANFR_BSA","Document Type in RFQ"
"M_ANFR_EKG","Purchasing Group in RFQ"
"M_ANFR_EKO","Purchasing Organization in RFQ"
"M_ANFR_LGO","Plant/Storage Location in RFQ"
"M_ANFR_WRK","Plant in RFQ"
"M_ANGB_BSA","Document Type in Quotation"
"M_ANGB_EKG","Purchasing Group in Quotation"
"M_ANGB_EKO","Purchasing Organization in Quotation"
"M_ANGB_LGO","Plant/Storage Location in Quotation"
"M_ANGB_WRK","Plant in Quotation"
"M_APPL_ANL","LIS Customizing: Applications"
"M_AUSW_MCC","Evaluation: Application"
"M_BANF_BSA","Document Type in Purchase Requisition"
"M_BANF_EKG","Purchasing Group in Purchase Requisition"
"M_BANF_EKO","Purchasing Organization in Purchase Requisition"
"M_BANF_FRG","Release Code in Purchase Requisition"
"M_BANF_LGO","Plant/Storage Location in Purchase Requisition"
"M_BANF_WRK","Plant in Purchase Requisition"
"M_BCO_EKOR","INVCO Document Evaluations: Purchasing Organization"
"M_BCO_VKOR","INVCO Document Evaluations: Sales Organization"
"M_BCO_WERK","INVCO Document Evaluations: Plant"
"M_BEST_BSA","Document Type in Purchase Order"
"M_BEST_EKG","Purchasing Group in Purchase Order"
"M_BEST_EKO","Purchasing Organization in Purchase Order"
"M_BEST_EXP","Progress Tracking Group"
"M_BEST_LGO","Plant/Storage Location in Purchase Order"
"M_BEST_WRK","Plant in Purchase Order"
"M_BSV_ALL","Authorization for BSV"
"M_BSV_CONF","Authorization for Creating Rule in BSV"
"M_BSV_PROC","Authorization for Valuation Procedure in BSV"
"M_CP_INVDT","Authorisation object for consignment processing"
"M_CUFO_MCS","Customizing Update Parameters: Application"
"M_CUST_MCS","Customizing: Standard Analyses/Application Settings"
"M_CUTR_MCS","Customizing: Transport"
"M_DDIC_DOB","Evaluation Structure: DD Table"
"M_EINF_EKG","Purchasing Group in Purchasing Info Record"
"M_EINF_EKO","Purchasing Organization in Purchasing Info Record"
"M_EINF_WRK","Plant in Purchasing Info Record"
"M_EINK_FRG","Release Code and Group (Purchasing)"
"M_EVNT_ANL","Maintain LIS Inbound Interface for External Data"
"M_FCAT_ANL","Field Catalog: Application"
"M_FORECAST","Material Forecast"
"M_GRPT_WWW","User is authorized to perform Goods Receipt via WWW"
"M_HIER_MCK","General Hierarchy"
"M_INFO_ANL","Info Structure: Application"
"M_INFO_FOR","Update Formula/Conditions: Application"
"M_INFO_GEN","Generation: Info Structures/Update Definition"
"M_INFO_MCB","Evaluation: Evaluation Structure"
"M_INFO_MCC","Evaluation Structure: Application"
"M_INFO_MCD","Planning: Information Structure/Version"
"M_INFO_UPD","Define Updating: Application/Information Structure"
"M_ISEG_WDB","Phys inv: Difference Posting in Plant"
"M_ISEG_WIB","Phys. Inv.: Phys. Inv. Document in Plant"
"M_ISEG_WZB","Phys. Inv.: Count and Difference Posting in Plant"
"M_ISEG_WZL","Phys. Inv.: Count in Plant"
"M_IS_DISPO","LIS Standard Analysis: Info Structure / MRP Controller"
"M_IS_EKGRP","LIS Standard Analysis: Info Structure / Purchasing Group"
"M_IS_EKORG","LIS Standard Analysis: Info Structure / Purchasing Org."
"M_IS_KENNZ","LIS Standard Analysis: Info Structure / Key Figure"
"M_IS_LGNUM","LIS Standard Analysis: Info Structure / Warehouse Number"
"M_IS_MATKL","LIS Standard Analysis: Info Structure / Material Group"
"M_IS_MTART","LIS Standard Analysis: Info Structure / Material Type"
"M_IS_SELVS","LIS Standard Analysis: Selection Versions"
"M_IS_SPART","LIS Standard Analysis: Info Structure / Division"
"M_IS_VKBUR","LIS Standard Analysis: Info Structure / Sales Office"
"M_IS_VKORG","LIS Standard Analysis: Info Structure / Sales Organization"
"M_IS_VTWEG","LIS Standard Analysis: Info Structure / Distribution Channel"
"M_IS_WERKS","LIS Standard Analysis: Info Structure / Plant"
"M_KONA_ORG","Arr. Type, Purch. Org., Purch. Group in Rebate Arrangement"
"M_LFM1_EKO","Purchasing Organization in Vendor Master Record"
"M_LFPL_ORG","Organizational Levels of Long-Term Planning"
"M_LIBE_EKO","Vendor Evaluation"
"M_LIBI_CUS","Customizing: Logistics Information Library"
"M_LIBI_INS","Info Sets: Logistics Information Library"
"M_LIBI_IST","Info Set Calls"
"M_LIBI_KNZ","Key Figures: Logistics Information Library"
"M_LIBI_KSI","Key Figure Retrieval Via Info Sets"
"M_LIBI_KSK","Key Figure Retrieval Using Classification"
"M_LIBI_KST","Key Figure Retrieval Using Text Elements"
"M_LIBI_KZS","Find key figures in Logistics Information Library"
"M_LIFO_MLY","Authorization for LIFO Valuation"
"M_LPET_BSA","Document Type in Scheduling Agreement Delivery Schedule"
"M_LPET_EKG","Purchasing Group in Scheduling Agreement Delivery Schedule"
"M_LPET_EKO","Purchasing Org. in Scheduling Agreement Delivery Schedule"
"M_LPET_LGO","Plant/Storage Location in SA Delivery Schedule Line"
"M_LPET_WRK","Plant in Scheduling Agreement Delivery Schedule"
"M_MATE_BIC","Batch Information Cockpit"
"M_MATE_BUK","Material Master: Company Codes"
"M_MATE_BWT","Material master: Change of valuation type for batch"
"M_MATE_CHC","Batch Class Conversion"
"M_MATE_CHG","Material Master: Batches/Trading Units"
"M_MATE_CHP","Batch Record"
"M_MATE_DCP","Batch Distribution - Decouple Batch"
